label,name,resp_one,resp_two,resp_three
1,"Allen, Miss. Elisabeth Walton",5555,9999,23
1,"Allison, Master. Hudson Trevor",5560,10000,22
1,"Allison, Miss. Helen Loraine",5565,10002,21
1,"Allison, Mr. Hudson Joshua Creighton",5570,10000,24
1,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",5575,10001,24
1,"Anderson, Mr. Harry",5580,10003,23
1,"Andrews, Miss. Kornelia Theodosia",5585,10001,22
1,"Andrews, Mr. Thomas Jr",5590,10002,25
1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",5595,10004,25
1,"Artagaveytia, Mr. Ramon",5600,10002,24
1,"Astor, Col. John Jacob",5605,10003,23
1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",5610,10005,26
1,"Aubart, Mme. Leontine Pauline",5615,10003,26
1,"Barber, Miss. Ellen ""Nellie""",5620,10004,25
1,"Barkworth, Mr. Algernon Henry Wilson",5625,10006,24
1,"Baumann, Mr. John D",5630,10004,27
1,"Baxter, Mr. Quigg Edmond",5635,10005,27
1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",5640,10007,26
1,"Bazzani, Miss. Albina",5645,10005,25
1,"Beattie, Mr. Thomson",5650,10006,28
0,"Beckwith, Mr. Richard Leonard",3450,11111,28
0,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",3460,11113,27
0,"Behr, Mr. Karl Howell",3470,11112,26
0,"Bidois, Miss. Rosalie",3480,11112,29
0,"Bird, Miss. Ellen",3490,11114,29
0,"Birnbaum, Mr. Jakob",3500,11113,28
0,"Bishop, Mr. Dickinson H",3510,11113,27
0,"Bishop, Mrs. Dickinson H (Helen Walton)",3520,11115,30
0,"Bissette, Miss. Amelia",3530,11114,30
0,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",3540,11114,29
0,"Blackwell, Mr. Stephen Weart",3550,11116,28
0,"Blank, Mr. Henry",3560,11115,31
0,"Bonnell, Miss. Caroline",3570,11115,31
0,"Bonnell, Miss. Elizabeth",3580,11117,30
0,"Borebank, Mr. John James",3590,11116,29
0,"Bowen, Miss. Grace Scott",3600,11116,32
0,"Bowerman, Miss. Elsie Edith",3610,11118,32
0,"Bradley, Mr. George (""George Arthur Brayton"")",3620,11117,31
0,"Brady, Mr. John Bertram",3630,11117,30
0,"Brandeis, Mr. Emil",3640,11119,33
